2020-02-11/21:38:55		Column Length Validation Started!!
2022-07-29/12:44:34		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/12:44:34		Column Length Validation Completed!!
2022-07-29/12:52:24		Column Length Validation Started!!
2022-07-29/12:52:24		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/12:52:24		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/12:52:24		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/12:52:24		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/12:52:24		Column Length Validation Completed!!
2022-07-29/13:12:18		Column Length Validation Started!!
2022-07-29/13:12:18		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/13:12:18		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/13:12:19		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/13:12:19		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/13:12:19		Column Length Validation Completed!!
2022-07-29/13:22:20		Column Length Validation Started!!
2022-07-29/13:22:20		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/13:22:21		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/13:22:21		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/13:22:21		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/13:22:21		Column Length Validation Completed!!
2022-07-29/13:38:54		Column Length Validation Started!!
2022-07-29/13:38:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/13:38:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/13:38:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/13:38:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/13:38:54		Column Length Validation Completed!!
2022-07-29/13:55:34		Column Length Validation Started!!
2022-07-29/13:55:34		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/13:55:34		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/13:55:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/13:55:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/13:55:35		Column Length Validation Completed!!
2022-07-29/13:57:35		Column Length Validation Started!!
2022-07-29/13:57:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/13:57:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/13:57:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/13:57:35		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/13:57:35		Column Length Validation Completed!!
2022-07-29/14:07:56		Column Length Validation Started!!
2022-07-29/14:07:56		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/14:07:56		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/14:07:56		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/14:07:56		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/14:07:56		Column Length Validation Completed!!
2022-07-29/14:17:10		Column Length Validation Started!!
2022-07-29/14:17:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-07-29/14:17:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-07-29/14:17:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-07-29/14:17:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-07-29/14:17:10		Column Length Validation Completed!!
2022-09-04/10:31:54		Column Length Validation Started!!
2022-09-04/10:31:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2022-09-04/10:31:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2022-09-04/10:31:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2022-09-04/10:31:54		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2022-09-04/10:31:54		Column Length Validation Completed!!
